Antal nya cancerfall, Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2015;Riket;0­4;0;0
2015;Riket;5­9;0;0
2015;Riket;10­14;0;0
2015;Riket;15­19;0;0
2015;Riket;20­24;0;3
2015;Riket;25­29;0;3
2015;Riket;30­34;0;4
2015;Riket;35­39;3;6
2015;Riket;40­44;10;12
2015;Riket;45­49;21;41
2015;Riket;50­54;55;56
2015;Riket;55­59;87;94
2015;Riket;60­64;164;132
2015;Riket;65­69;368;263
2015;Riket;70­74;652;397
2015;Riket;75­79;728;446
2015;Riket;80­84;775;522
2015;Riket;85+;1 188;1 033
2015;Stockholms län;0­4;0;0
2015;Stockholms län;5­9;0;0
2015;Stockholms län;10­14;0;0
2015;Stockholms län;15­19;0;0
2015;Stockholms län;20­24;0;0
2015;Stockholms län;25­29;0;0
2015;Stockholms län;30­34;0;1
2015;Stockholms län;35­39;1;1
2015;Stockholms län;40­44;0;3
2015;Stockholms län;45­49;5;5
2015;Stockholms län;50­54;13;16
2015;Stockholms län;55­59;22;15
2015;Stockholms län;60­64;38;34
2015;Stockholms län;65­69;67;62
2015;Stockholms län;70­74;118;87
2015;Stockholms län;75­79;129;109
2015;Stockholms län;80­84;112;100
2015;Stockholms län;85+;236;231
2015;Uppsala län;0­4;0;0
2015;Uppsala län;5­9;0;0
2015;Uppsala län;10­14;0;0
2015;Uppsala län;15­19;0;0
2015;Uppsala län;20­24;0;0
2015;Uppsala län;25­29;0;0
2015;Uppsala län;30­34;0;0
2015;Uppsala län;35­39;0;0
2015;Uppsala län;40­44;0;0
2015;Uppsala län;45­49;1;2
2015;Uppsala län;50­54;3;1
2015;Uppsala län;55­59;3;4
2015;Uppsala län;60­64;4;5
2015;Uppsala län;65­69;7;8
2015;Uppsala län;70­74;17;10
2015;Uppsala län;75­79;24;11
2015;Uppsala län;80­84;18;11
2015;Uppsala län;85+;47;24
2015;Södermanlands län;0­4;0;0
2015;Södermanlands län;5­9;0;0
2015;Södermanlands län;10­14;0;0
2015;Södermanlands län;15­19;0;0
2015;Södermanlands län;20­24;0;0
2015;Södermanlands län;25­29;0;0
2015;Södermanlands län;30­34;0;0
2015;Södermanlands län;35­39;0;0
2015;Södermanlands län;40­44;0;0
2015;Södermanlands län;45­49;0;1
2015;Södermanlands län;50­54;3;1
2015;Södermanlands län;55­59;2;0
2015;Södermanlands län;60­64;1;2
2015;Södermanlands län;65­69;6;1
2015;Södermanlands län;70­74;11;9
2015;Södermanlands län;75­79;11;3
2015;Södermanlands län;80­84;14;4
2015;Södermanlands län;85+;25;13
2015;Östergötlands län;0­4;0;0
2015;Östergötlands län;5­9;0;0
2015;Östergötlands län;10­14;0;0
2015;Östergötlands län;15­19;0;0
2015;Östergötlands län;20­24;0;0
2015;Östergötlands län;25­29;0;0
2015;Östergötlands län;30­34;0;0
2015;Östergötlands län;35­39;0;0
2015;Östergötlands län;40­44;0;0
2015;Östergötlands län;45­49;1;3
2015;Östergötlands län;50­54;3;6
2015;Östergötlands län;55­59;2;2
2015;Östergötlands län;60­64;6;5
2015;Östergötlands län;65­69;16;13
2015;Östergötlands län;70­74;25;12
2015;Östergötlands län;75­79;37;20
2015;Östergötlands län;80­84;44;18
2015;Östergötlands län;85+;69;48
2015;Jönköpings län;0­4;0;0
2015;Jönköpings län;5­9;0;0
2015;Jönköpings län;10­14;0;0
2015;Jönköpings län;15­19;0;0
2015;Jönköpings län;20­24;0;0
2015;Jönköpings län;25­29;0;0
2015;Jönköpings län;30­34;0;0
2015;Jönköpings län;35­39;0;0
2015;Jönköpings län;40­44;1;0
2015;Jönköpings län;45­49;0;1
2015;Jönköpings län;50­54;0;2
2015;Jönköpings län;55­59;3;1
2015;Jönköpings län;60­64;6;3
2015;Jönköpings län;65­69;12;10
2015;Jönköpings län;70­74;18;16
2015;Jönköpings län;75­79;22;14
2015;Jönköpings län;80­84;24;18
2015;Jönköpings län;85+;49;45
2015;Kronobergs län;0­4;0;0
2015;Kronobergs län;5­9;0;0
2015;Kronobergs län;10­14;0;0
2015;Kronobergs län;15­19;0;0
2015;Kronobergs län;20­24;0;0
2015;Kronobergs län;25­29;0;0
2015;Kronobergs län;30­34;0;0
2015;Kronobergs län;35­39;0;0
2015;Kronobergs län;40­44;0;0
2015;Kronobergs län;45­49;1;1
2015;Kronobergs län;50­54;0;2
2015;Kronobergs län;55­59;1;5
2015;Kronobergs län;60­64;6;5
2015;Kronobergs län;65­69;11;8
2015;Kronobergs län;70­74;29;12
2015;Kronobergs län;75­79;23;16
2015;Kronobergs län;80­84;19;15
2015;Kronobergs län;85+;43;15
2015;Kalmar län;0­4;0;0
2015;Kalmar län;5­9;0;0
2015;Kalmar län;10­14;0;0
2015;Kalmar län;15­19;0;0
2015;Kalmar län;20­24;0;0
2015;Kalmar län;25­29;0;0
2015;Kalmar län;30­34;0;0
2015;Kalmar län;35­39;0;0
2015;Kalmar län;40­44;0;0
2015;Kalmar län;45­49;0;1
2015;Kalmar län;50­54;0;1
2015;Kalmar län;55­59;4;0
2015;Kalmar län;60­64;6;7
2015;Kalmar län;65­69;7;3
2015;Kalmar län;70­74;15;8
2015;Kalmar län;75­79;13;13
2015;Kalmar län;80­84;13;14
2015;Kalmar län;85+;28;24
2015;Gotlands län;0­4;0;0
2015;Gotlands län;5­9;0;0
2015;Gotlands län;10­14;0;0
2015;Gotlands län;15­19;0;0
2015;Gotlands län;20­24;0;0
2015;Gotlands län;25­29;0;0
2015;Gotlands län;30­34;0;0
2015;Gotlands län;35­39;0;1
2015;Gotlands län;40­44;0;0
2015;Gotlands län;45­49;0;1
2015;Gotlands län;50­54;1;0
2015;Gotlands län;55­59;1;2
2015;Gotlands län;60­64;0;0
2015;Gotlands län;65­69;3;5
2015;Gotlands län;70­74;5;3
2015;Gotlands län;75­79;4;5
2015;Gotlands län;80­84;9;7
2015;Gotlands län;85+;5;7
2015;Blekinge län;0­4;0;0
2015;Blekinge län;5­9;0;0
2015;Blekinge län;10­14;0;0
2015;Blekinge län;15­19;0;0
2015;Blekinge län;20­24;0;0
2015;Blekinge län;25­29;0;0
2015;Blekinge län;30­34;0;0
2015;Blekinge län;35­39;0;0
2015;Blekinge län;40­44;0;3
2015;Blekinge län;45­49;0;1
2015;Blekinge län;50­54;1;0
2015;Blekinge län;55­59;1;1
2015;Blekinge län;60­64;4;3
2015;Blekinge län;65­69;5;9
2015;Blekinge län;70­74;14;11
2015;Blekinge län;75­79;13;6
2015;Blekinge län;80­84;16;10
2015;Blekinge län;85+;11;17
2015;Skåne län;0­4;0;0
2015;Skåne län;5­9;0;0
2015;Skåne län;10­14;0;0
2015;Skåne län;15­19;0;0
2015;Skåne län;20­24;0;0
2015;Skåne län;25­29;0;0
2015;Skåne län;30­34;0;2
2015;Skåne län;35­39;2;2
2015;Skåne län;40­44;3;0
2015;Skåne län;45­49;4;11
2015;Skåne län;50­54;16;10
2015;Skåne län;55­59;12;16
2015;Skåne län;60­64;26;26
2015;Skåne län;65­69;48;36
2015;Skåne län;70­74;105;67
2015;Skåne län;75­79;127;79
2015;Skåne län;80­84;151;81
2015;Skåne län;85+;151;174
2015;Hallands län;0­4;0;0
2015;Hallands län;5­9;0;0
2015;Hallands län;10­14;0;0
2015;Hallands län;15­19;0;0
2015;Hallands län;20­24;0;0
