"","years","age","counties","cases","sexInd"
"1",2015,"0-4","Sweden",0,"Men"
"2",2015,"5-9","Sweden",0,"Men"
"3",2015,"10-14","Sweden",0,"Men"
"4",2015,"15-19","Sweden",0,"Men"
"5",2015,"20-24","Sweden",0,"Men"
"6",2015,"25-29","Sweden",0,"Men"
"7",2015,"30-34","Sweden",0,"Men"
"8",2015,"35-39","Sweden",0.97,"Men"
"9",2015,"40-44","Sweden",3.03,"Men"
"10",2015,"45-49","Sweden",6.2,"Men"
"11",2015,"50-54","Sweden",17.12,"Men"
"12",2015,"55-59","Sweden",29.8,"Men"
"13",2015,"60-64","Sweden",58.68,"Men"
"14",2015,"65-69","Sweden",125.37,"Men"
"15",2015,"70-74","Sweden",268.82,"Men"
"16",2015,"75-59","Sweden",459.55,"Men"
"17",2015,"80-84","Sweden",749.64,"Men"
"18",2015,"85+","Sweden",1343.59,"Men"
"19",2015,"0-4","Stockholm",0,"Men"
"20",2015,"5-9","Stockholm",0,"Men"
"21",2015,"10-14","Stockholm",0,"Men"
"22",2015,"15-19","Stockholm",0,"Men"
"23",2015,"20-24","Stockholm",0,"Men"
"24",2015,"25-29","Stockholm",0,"Men"
"25",2015,"30-34","Stockholm",0,"Men"
"26",2015,"35-39","Stockholm",1.22,"Men"
"27",2015,"40-44","Stockholm",0,"Men"
"28",2015,"45-49","Stockholm",6.33,"Men"
"29",2015,"50-54","Stockholm",17.69,"Men"
"30",2015,"55-59","Stockholm",35.45,"Men"
"31",2015,"60-64","Stockholm",70.48,"Men"
"32",2015,"65-69","Stockholm",125.99,"Men"
"33",2015,"70-74","Stockholm",266.2,"Men"
"34",2015,"75-59","Stockholm",481.24,"Men"
"35",2015,"80-84","Stockholm",677.25,"Men"
"36",2015,"85+","Stockholm",1612.96,"Men"
"37",2015,"0-4","Uppsala",0,"Men"
"38",2015,"5-9","Uppsala",0,"Men"
"39",2015,"10-14","Uppsala",0,"Men"
"40",2015,"15-19","Uppsala",0,"Men"
"41",2015,"20-24","Uppsala",0,"Men"
"42",2015,"25-29","Uppsala",0,"Men"
"43",2015,"30-34","Uppsala",0,"Men"
"44",2015,"35-39","Uppsala",0,"Men"
"45",2015,"40-44","Uppsala",0,"Men"
"46",2015,"45-49","Uppsala",8.74,"Men"
"47",2015,"50-54","Uppsala",27.47,"Men"
"48",2015,"55-59","Uppsala",29.92,"Men"
"49",2015,"60-64","Uppsala",41.52,"Men"
"50",2015,"65-69","Uppsala",66.95,"Men"
"51",2015,"70-74","Uppsala",203.11,"Men"
"52",2015,"75-59","Uppsala",464.71,"Men"
"53",2015,"80-84","Uppsala",553.76,"Men"
"54",2015,"85+","Uppsala",1652.6,"Men"
"55",2015,"0-4","Södermanland",0,"Men"
"56",2015,"5-9","Södermanland",0,"Men"
"57",2015,"10-14","Södermanland",0,"Men"
"58",2015,"15-19","Södermanland",0,"Men"
"59",2015,"20-24","Södermanland",0,"Men"
"60",2015,"25-29","Södermanland",0,"Men"
"61",2015,"30-34","Södermanland",0,"Men"
"62",2015,"35-39","Södermanland",0,"Men"
"63",2015,"40-44","Södermanland",0,"Men"
"64",2015,"45-49","Södermanland",0,"Men"
"65",2015,"50-54","Södermanland",32.03,"Men"
"66",2015,"55-59","Södermanland",23.15,"Men"
"67",2015,"60-64","Södermanland",11.73,"Men"
"68",2015,"65-69","Södermanland",62.28,"Men"
"69",2015,"70-74","Södermanland",134.38,"Men"
"70",2015,"75-59","Södermanland",207.33,"Men"
"71",2015,"80-84","Södermanland",428.2,"Men"
"72",2015,"85+","Södermanland",925.58,"Men"
"73",2015,"0-4","Östergötland",0,"Men"
"74",2015,"5-9","Östergötland",0,"Men"
"75",2015,"10-14","Östergötland",0,"Men"
"76",2015,"15-19","Östergötland",0,"Men"
"77",2015,"20-24","Östergötland",0,"Men"
"78",2015,"25-29","Östergötland",0,"Men"
"79",2015,"30-34","Östergötland",0,"Men"
"80",2015,"35-39","Östergötland",0,"Men"
"81",2015,"40-44","Östergötland",0,"Men"
"82",2015,"45-49","Östergötland",6.62,"Men"
"83",2015,"50-54","Östergötland",21,"Men"
"84",2015,"55-59","Östergötland",15.18,"Men"
"85",2015,"60-64","Östergötland",47.38,"Men"
"86",2015,"65-69","Östergötland",118.97,"Men"
"87",2015,"70-74","Östergötland",223.24,"Men"
"88",2015,"75-59","Östergötland",500.91,"Men"
"89",2015,"80-84","Östergötland",909.37,"Men"
"90",2015,"85+","Östergötland",1590.78,"Men"
"91",2015,"0-4","Jönköping",0,"Men"
"92",2015,"5-9","Jönköping",0,"Men"
"93",2015,"10-14","Jönköping",0,"Men"
"94",2015,"15-19","Jönköping",0,"Men"
"95",2015,"20-24","Jönköping",0,"Men"
"96",2015,"25-29","Jönköping",0,"Men"
"97",2015,"30-34","Jönköping",0,"Men"
"98",2015,"35-39","Jönköping",0,"Men"
"99",2015,"40-44","Jönköping",8.92,"Men"
"100",2015,"45-49","Jönköping",0,"Men"
"101",2015,"50-54","Jönköping",0,"Men"
"102",2015,"55-59","Jönköping",28.61,"Men"
"103",2015,"60-64","Jönköping",59.31,"Men"
"104",2015,"65-69","Jönköping",113.2,"Men"
"105",2015,"70-74","Jönköping",208.07,"Men"
"106",2015,"75-59","Jönköping",381.28,"Men"
"107",2015,"80-84","Jönköping",603.7,"Men"
"108",2015,"85+","Jönköping",1336.61,"Men"
"109",2015,"0-4","Kronoberg",0,"Men"
"110",2015,"5-9","Kronoberg",0,"Men"
"111",2015,"10-14","Kronoberg",0,"Men"
"112",2015,"15-19","Kronoberg",0,"Men"
"113",2015,"20-24","Kronoberg",0,"Men"
"114",2015,"25-29","Kronoberg",0,"Men"
"115",2015,"30-34","Kronoberg",0,"Men"
"116",2015,"35-39","Kronoberg",0,"Men"
"117",2015,"40-44","Kronoberg",0,"Men"
"118",2015,"45-49","Kronoberg",15.5,"Men"
"119",2015,"50-54","Kronoberg",0,"Men"
"120",2015,"55-59","Kronoberg",17.83,"Men"
"121",2015,"60-64","Kronoberg",104.07,"Men"
"122",2015,"65-69","Kronoberg",181.41,"Men"
"123",2015,"70-74","Kronoberg",583.44,"Men"
"124",2015,"75-59","Kronoberg",685.85,"Men"
"125",2015,"80-84","Kronoberg",816.68,"Men"
"126",2015,"85+","Kronoberg",2009.35,"Men"
"127",2015,"0-4","Kalmar",0,"Men"
"128",2015,"5-9","Kalmar",0,"Men"
"129",2015,"10-14","Kalmar",0,"Men"
"130",2015,"15-19","Kalmar",0,"Men"
"131",2015,"20-24","Kalmar",0,"Men"
"132",2015,"25-29","Kalmar",0,"Men"
"133",2015,"30-34","Kalmar",0,"Men"
"134",2015,"35-39","Kalmar",0,"Men"
"135",2015,"40-44","Kalmar",0,"Men"
"136",2015,"45-49","Kalmar",0,"Men"
"137",2015,"50-54","Kalmar",0,"Men"
"138",2015,"55-59","Kalmar",53.05,"Men"
"139",2015,"60-64","Kalmar",75.52,"Men"
