Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2015;Riket;0­4;0,00;0,00
2015;Riket;5­9;0,00;0,00
2015;Riket;10­14;0,00;0,00
2015;Riket;15­19;0,00;0,00
2015;Riket;20­24;0,00;0,93
2015;Riket;25­29;0,00;0,92
2015;Riket;30­34;0,00;1,34
2015;Riket;35­39;0,97;2,02
2015;Riket;40­44;3,03;3,74
2015;Riket;45­49;6,20;12,51
2015;Riket;50­54;17,12;17,95
2015;Riket;55­59;29,80;32,66
2015;Riket;60­64;58,68;47,00
2015;Riket;65­69;125,37;87,52
2015;Riket;70­74;268,82;157,12
2015;Riket;75­79;459,55;245,24
2015;Riket;80­84;749,64;373,74
2015;Riket;85+;1 343,59;611,03
2015;Stockholms län;0­4;0,00;0,00
2015;Stockholms län;5­9;0,00;0,00
2015;Stockholms län;10­14;0,00;0,00
2015;Stockholms län;15­19;0,00;0,00
2015;Stockholms län;20­24;0,00;0,00
2015;Stockholms län;25­29;0,00;0,00
2015;Stockholms län;30­34;0,00;1,21
2015;Stockholms län;35­39;1,22;1,26
2015;Stockholms län;40­44;0,00;3,67
2015;Stockholms län;45­49;6,33;6,46
2015;Stockholms län;50­54;17,69;22,26
2015;Stockholms län;55­59;35,45;24,60
2015;Stockholms län;60­64;70,48;61,80
2015;Stockholms län;65­69;125,99;106,70
2015;Stockholms län;70­74;266,20;178,37
2015;Stockholms län;75­79;481,24;338,88
2015;Stockholms län;80­84;677,25;424,72
2015;Stockholms län;85+;1 612,96;753,39
2015;Uppsala län;0­4;0,00;0,00
2015;Uppsala län;5­9;0,00;0,00
2015;Uppsala län;10­14;0,00;0,00
2015;Uppsala län;15­19;0,00;0,00
2015;Uppsala län;20­24;0,00;0,00
2015;Uppsala län;25­29;0,00;0,00
2015;Uppsala län;30­34;0,00;0,00
2015;Uppsala län;35­39;0,00;0,00
2015;Uppsala län;40­44;0,00;0,00
2015;Uppsala län;45­49;8,74;17,53
